2016-10-18,3M,2.90780
2016-10-18,3Y,3.16180
2016-10-18,4Y,3.40440
2016-10-18,5Y,3.47690
2016-10-18,6M,2.95100
2016-10-18,6Y,3.74400
2016-10-18,7D,2.65980
2016-10-18,7Y,3.81910
2016-10-18,8Y,3.87730
2016-10-18,9M,2.97310
2016-10-18,9Y,3.90340
2016-10-17,0D,2.61890
2016-10-17,10Y,3.95380
2016-10-17,14D,2.80160
2016-10-17,1M,2.86040
2016-10-17,1Y,2.99040
2016-10-17,2M,2.86000
2016-10-17,2Y,3.13220
2016-10-17,3M,2.90010
2016-10-17,3Y,3.19010
2016-10-17,4Y,3.40090
2016-10-17,5Y,3.47990
2016-10-17,6M,2.93120
2016-10-17,6Y,3.73860
2016-10-17,7D,2.65380
2016-10-17,7Y,3.81330
2016-10-17,8Y,3.87120
2016-10-17,9M,2.95150
2016-10-17,9Y,3.91820
2016-10-14,0D,2.61290
2016-10-14,10Y,3.97220
2016-10-14,14D,2.76230
2016-10-14,1M,2.81170
2016-10-14,1Y,2.99460
2016-10-14,2M,2.81280
2016-10-14,2Y,3.13990
2016-10-14,3M,2.88760
2016-10-14,3Y,3.18020
2016-10-14,4Y,3.39260
2016-10-14,5Y,3.45690
2016-10-14,6M,2.92680
2016-10-14,6Y,3.72690
2016-10-14,7D,2.65280
2016-10-14,7Y,3.81540
2016-10-14,8Y,3.86220
2016-10-14,9M,2.95220
2016-10-14,9Y,3.90820
2016-10-13,0D,2.61090
2016-10-13,10Y,4.00720
2016-10-13,14D,2.76430
2016-10-13,1M,2.81820
2016-10-13,1Y,2.99740
2016-10-13,2M,2.84220
2016-10-13,2Y,3.13440
2016-10-13,3M,2.85370
2016-10-13,3Y,3.22510
2016-10-13,4Y,3.40150
2016-10-13,5Y,3.47580
2016-10-13,6M,2.94210
2016-10-13,6Y,3.74970
2016-10-13,7D,2.65680
2016-10-13,7Y,3.83560
2016-10-13,8Y,3.89240
2016-10-13,9M,2.96340
2016-10-13,9Y,3.90780
2016-10-12,7Y,3.84520
2016-10-12,8Y,3.88350
2016-10-12,9M,2.97520
2016-10-12,9Y,3.90830
2016-10-12,0D,2.60990
2016-10-12,10Y,4.01880
2016-10-12,14D,2.76630
2016-10-12,1M,2.81310
2016-10-12,1Y,3.03140
2016-10-12,2M,2.84250
2016-10-12,2Y,3.15910
2016-10-12,3M,2.87830
2016-10-12,3Y,3.18920
2016-10-12,4Y,3.40230
2016-10-12,5Y,3.48400
2016-10-12,6M,2.93520
2016-10-12,6Y,3.75940
2016-10-12,7D,2.71180
2016-10-11,0D,2.63290
2016-10-11,10Y,4.00900
2016-10-11,14D,2.81230
2016-10-11,1M,2.85690
2016-10-11,1Y,3.05580
2016-10-11,2M,2.88100
2016-10-11,2Y,3.18500
2016-10-11,3M,2.89740
2016-10-11,3Y,3.20970
2016-10-11,4Y,3.40780
2016-10-11,5Y,3.46930
2016-10-11,6M,2.97960
2016-10-11,6Y,3.74710
2016-10-11,7D,2.77990
2016-10-11,7Y,3.83290
2016-10-11,8Y,3.87120
2016-10-11,9M,2.98330
2016-10-11,9Y,3.89610
2016-10-10,0D,2.70190
2016-10-10,10Y,4.00690
2016-10-10,14D,2.89470
2016-10-10,1M,2.91610
2016-10-10,1Y,3.07980
2016-10-10,2M,2.92690
2016-10-10,2Y,3.19230
2016-10-10,3M,2.92980
2016-10-10,3Y,3.19680
2016-10-10,4Y,3.43820
2016-10-10,5Y,3.48700
2016-10-10,6M,2.95310
2016-10-10,6Y,3.76100
2016-10-10,7D,2.88600
2016-10-10,7Y,3.84190
2016-10-10,8Y,3.88010
2016-10-10,9M,2.99560
2016-10-10,9Y,3.90490
2016-10-09,0D,2.80190
2016-10-09,10Y,4.02490
2016-10-09,14D,2.90770
2016-10-09,1M,2.95400
2016-10-09,1Y,3.13300
2016-10-09,2M,2.97970
2016-10-09,2Y,3.19780
2016-10-09,3M,2.97510
2016-10-09,3Y,3.21450
2016-10-09,4Y,3.44640
2016-10-09,5Y,3.51700
2016-10-09,6M,3.01470
2016-10-09,6Y,3.78710
2016-10-09,7D,2.90100
2016-10-09,7Y,3.86330
2016-10-09,8Y,3.90150
2016-10-09,9M,3.06420
2016-10-09,9Y,3.92630
2016-10-08,0D,2.90190
2016-10-08,10Y,4.00990
2016-10-08,14D,2.92170
2016-10-08,1M,2.96820
2016-10-08,1Y,3.13910
2016-10-08,2M,2.99280
2016-10-08,2Y,3.19670
2016-10-08,3M,2.99230
2016-10-08,3Y,3.22680
2016-10-08,4Y,3.47270
2016-10-08,5Y,3.53850
2016-10-08,6M,3.03650
2016-10-08,6Y,3.78210
2016-10-08,7D,2.91800
2016-10-08,7Y,3.85630
2016-10-08,8Y,3.89450
2016-10-08,9M,3.05010
2016-10-08,9Y,3.91930
2016-09-30,0D,3.03590
2016-09-30,10Y,4.04000
2016-09-30,14D,2.96060
2016-09-30,1M,3.02290
2016-09-30,1Y,3.11850
2016-09-30,2M,3.01930
2016-09-30,2Y,3.19870
2016-09-30,3M,2.98760
2016-09-30,3Y,3.22620
2016-09-30,4Y,3.46950
2016-09-30,5Y,3.53040
2016-09-30,6M,3.00350
2016-09-30,6Y,3.79170
2016-09-30,7D,3.03290
2016-09-30,7Y,3.88030
2016-09-30,8Y,3.92160
2016-09-30,9M,3.01680
2016-09-30,9Y,3.94640
2016-09-29,0D,3.02690
2016-09-29,10Y,4.04540
2016-09-29,14D,3.01810
2016-09-29,1M,3.07300
2016-09-29,1Y,3.10760
2016-09-29,2M,3.04820
2016-09-29,2Y,3.20080
2016-09-29,3M,3.01040
2016-09-29,3Y,3.23630
2016-09-29,4Y,3.47480
2016-09-29,5Y,3.54020
2016-09-29,6M,3.02050
2016-09-29,6Y,3.79940
2016-09-29,7D,3.04290
2016-09-29,7Y,3.89450
2016-09-29,8Y,3.93140
2016-09-29,9M,3.03260
2016-09-29,9Y,3.95620
2016-09-27,0D,2.95490
2016-09-27,10Y,4.01540
2016-09-27,14D,3.07560
2016-09-27,1M,3.07690
2016-09-27,1Y,3.08910
2016-09-27,2M,3.04590
2016-09-27,2Y,3.21570
2016-09-27,3M,3.01600
2016-09-27,3Y,3.28920
2016-09-27,4Y,3.48880
2016-09-27,5Y,3.53510
2016-09-27,6M,3.03370
2016-09-27,6Y,3.79260
2016-09-27,7D,3.01490
2016-09-27,7Y,3.89140
2016-09-27,8Y,3.92830
2016-09-27,9M,3.03400
2016-09-27,9Y,3.96420
2016-09-26,0D,2.90290
2016-09-26,10Y,4.01550
2016-09-26,14D,3.03760
2016-09-26,1M,3.03960
2016-09-26,1Y,3.08560
2016-09-26,2M,3.01410
2016-09-26,2Y,3.18570
2016-09-26,3M,2.99970
2016-09-26,3Y,3.26900
2016-09-26,4Y,3.47890
2016-09-26,5Y,3.56500
2016-09-26,6M,3.03370
2016-09-26,6Y,3.79760
2016-09-26,7D,2.95930
2016-09-26,7Y,3.89630
2016-09-26,8Y,3.93320
2016-09-26,9M,3.03170
2016-09-26,9Y,3.96920
2016-09-23,0D,2.93570
2016-09-23,10Y,4.00730
2016-09-23,14D,3.06360
2016-09-23,1M,3.06640
2016-09-23,1Y,3.10610
2016-09-23,2M,3.06500
2016-09-23,2Y,3.22110
2016-09-23,3M,3.04390
2016-09-23,3Y,3.28940
2016-09-23,4Y,3.52410
2016-09-23,5Y,3.57500
2016-09-23,6M,3.07850
2016-09-23,6Y,3.80710
2016-09-23,7D,2.95630
2016-09-23,7Y,3.89190
2016-09-23,8Y,3.92870
2016-09-23,9M,3.07870
2016-09-23,9Y,3.96470
2016-09-22,0D,2.88690
2016-09-22,10Y,4.04730
2016-09-22,14D,3.00660
2016-09-22,1M,3.07430
2016-09-22,1Y,3.12520
2016-09-22,2M,3.07700
2016-09-22,2Y,3.26910
2016-09-22,3M,3.07600
2016-09-22,3Y,3.29710
2016-09-22,4Y,3.54480
2016-09-22,5Y,3.58280
2016-09-22,6M,3.08000
2016-09-22,6Y,3.82220
2016-09-22,7D,2.90830
2016-09-22,7Y,3.90160
2016-09-22,8Y,3.91280
2016-09-22,9M,3.10040
2016-09-22,9Y,3.98650
2016-09-21,0D,2.83590
2016-09-21,10Y,4.05240
2016-09-21,14D,2.95660
2016-09-21,1M,3.10850
2016-09-21,1Y,3.14050
2016-09-21,2M,3.11080
2016-09-21,2Y,3.28650
2016-09-21,3M,3.11050
2016-09-21,3Y,3.31080
2016-09-21,4Y,3.55280
2016-09-21,5Y,3.59930
